"","federal_subject","cases","recov","deaths","active","edit_date"
"82","Chuvashia",1,0,0,1,"16:23 24 March 2020"
"83","Republic of Crimea",1,0,0,1,"16:23 24 March 2020"
"84","Khakassia",1,0,0,1,"16:23 24 March 2020"
"85","Komi Republic",1,0,0,1,"16:23 24 March 2020"
"86","Stavropol Krai",1,0,0,1,"16:23 24 March 2020"
"87","Belgorod Oblast",1,0,0,1,"16:23 24 March 2020"
"88","Bryansk Oblast",1,0,0,1,"16:23 24 March 2020"
"89","Chelyabinsk Oblast",1,0,0,1,"16:23 24 March 2020"
"90","Ivanovo Oblast",1,0,0,1,"16:23 24 March 2020"
"91","Kurgan Oblast",1,0,0,1,"16:23 24 March 2020"
"92","Murmansk Oblast",1,0,0,1,"16:23 24 March 2020"
"93","Novgorod Oblast",1,0,0,1,"16:23 24 March 2020"
"94","Orenburg Oblast",1,0,0,1,"16:23 24 March 2020"
"95","Penza Oblast",1,0,0,1,"16:23 24 March 2020"
"96","Saratov Oblast",1,0,0,1,"16:23 24 March 2020"
"97","Tomsk Oblast",1,0,0,1,"16:23 24 March 2020"
"98","Ulyanovsk Oblast",1,0,0,1,"16:23 24 March 2020"
"99","Volgograd Oblast",1,0,0,1,"16:23 24 March 2020"
"100","Yaroslavl Oblast",1,0,0,1,"16:23 24 March 2020"
"101","Zabaykalsky Krai",1,1,0,0,"16:23 24 March 2020"
"102","Moscow",410,14,0,395,"10:05 25 March 2020"
"103","Moscow Oblast",41,2,0,39,"10:05 25 March 2020"
"104","Saint Petersburg",21,2,0,19,"10:05 25 March 2020"
"105","Sverdlovsk Oblast",13,0,0,13,"10:05 25 March 2020"
"106","Yakutia",10,0,0,10,"10:05 25 March 2020"
"107","Samara Oblast",10,0,0,10,"10:05 25 March 2020"
"108","Krasnodar Krai",9,0,0,9,"10:05 25 March 2020"
"109","Kaliningrad Oblast",8,1,0,7,"10:05 25 March 2020"
"110","Nizhny Novgorod Oblast",8,1,0,7,"10:05 25 March 2020"
"111","Republic of Crimea",7,0,0,7,"10:05 25 March 2020"
"112","Tatarstan",7,0,0,7,"10:05 25 March 2020"
"113","Tula Oblast",7,0,0,7,"10:05 25 March 2020"
"114","Kirov Oblast",7,0,0,7,"10:05 25 March 2020"
"115","Voronezh Oblast",6,0,0,6,"10:05 25 March 2020"
"116","Perm Krai",5,0,0,5,"10:05 25 March 2020"
"117","Krasnoyarsk Krai",5,3,0,2,"10:05 25 March 2020"
"118","Lipetsk Oblast",5,3,0,2,"10:05 25 March 2020"
"119","Bashkortostan",4,0,0,4,"10:05 25 March 2020"
"120","Kabardino-Balkaria",4,0,0,4,"10:05 25 March 2020"
"121","Khabarovsk Krai",4,0,0,4,"10:05 25 March 2020"
"122","Novosibirsk Oblast",4,0,0,4,"10:05 25 March 2020"
"123","Orenburg Oblast",4,0,0,4,"10:05 25 March 2020"
"124","Pskov Oblast",4,0,0,4,"10:05 25 March 2020"
"125","Komi Republic",3,0,0,3,"10:05 25 March 2020"
"126","Arkhangelsk Oblast",3,0,0,3,"10:05 25 March 2020"
"127","Leningrad Oblast",3,0,0,3,"10:05 25 March 2020"
"128","Tambov Oblast",3,0,0,3,"10:05 25 March 2020"
"129","Tver Oblast",3,0,0,3,"10:05 25 March 2020"
"130","Tyumen Oblast",3,1,0,2,"10:05 25 March 2020"
"131","Udmurtia",2,0,0,2,"10:05 25 March 2020"
"132","Primorsky Krai",2,0,0,2,"10:05 25 March 2020"
"133","Stavropol Krai",2,0,0,2,"10:05 25 March 2020"
"134","Bryansk Oblast",2,0,0,2,"10:05 25 March 2020"
"135","Chelyabinsk Oblast",2,0,0,2,"10:05 25 March 2020"
"136","Kaluga Oblast",2,0,0,2,"10:05 25 March 2020"
"137","Oryol Oblast",2,0,0,2,"10:05 25 March 2020"
"138","Penza Oblast",2,0,0,2,"10:05 25 March 2020"
"139","Ryazan Oblast",2,0,0,2,"10:05 25 March 2020"
"140","Khanty-Mansi Autonomous Okrug",2,0,0,2,"10:05 25 March 2020"
"141","Kemerovo Oblast",2,1,0,1,"10:05 25 March 2020"
"142","Chechnya",1,0,0,1,"10:05 25 March 2020"
"143","Chuvashia",1,0,0,1,"10:05 25 March 2020"
"144","Khakassia",1,0,0,1,"10:05 25 March 2020"
"145","Belgorod Oblast",1,0,0,1,"10:05 25 March 2020"
"146","Ivanovo Oblast",1,0,0,1,"10:05 25 March 2020"
"147","Kurgan Oblast",1,0,0,1,"10:05 25 March 2020"
"148","Murmansk Oblast",1,0,0,1,"10:05 25 March 2020"
"149","Novgorod Oblast",1,0,0,1,"10:05 25 March 2020"
"150","Rostov Oblast",1,0,0,1,"10:05 25 March 2020"
"151","Saratov Oblast",1,0,0,1,"10:05 25 March 2020"
"152","Tomsk Oblast",1,0,0,1,"10:05 25 March 2020"
"153","Ulyanovsk Oblast",1,0,0,1,"10:05 25 March 2020"
"154","Volgograd Oblast",1,0,0,1,"10:05 25 March 2020"
"155","Yaroslavl Oblast",1,0,0,1,"10:05 25 March 2020"
"156","Zabaykalsky Krai",1,1,0,0,"10:05 25 March 2020"
"157","Moscow",546,15,2,528,"13:02 26 March 2020"
"158","Moscow Oblast",41,7,0,34,"13:02 26 March 2020"
"159","Saint Petersburg",26,2,0,24,"13:02 26 March 2020"
"160","Sverdlovsk Oblast",20,3,0,17,"13:02 26 March 2020"
"161","Yakutia",14,0,0,14,"13:02 26 March 2020"
"162","Samara Oblast",12,0,0,12,"13:02 26 March 2020"
"163","Tatarstan",10,0,0,10,"13:02 26 March 2020"
"164","Perm Krai",10,0,0,10,"13:02 26 March 2020"
"165","Krasnodar Krai",9,0,0,9,"13:02 26 March 2020"
"166","Kaliningrad Oblast",8,1,0,7,"13:02 26 March 2020"
"167","Nizhny Novgorod Oblast",8,1,0,7,"13:02 26 March 2020"
"168","Krasnoyarsk Krai",8,3,0,5,"13:02 26 March 2020"
