"","federal_subject","cases","recov","deaths","active","edit_date"
"413","Kirov Oblast",12,2,0,10,"12:19 30 March 2020"
"414","Kaliningrad Oblast",12,2,0,10,"12:19 30 March 2020"
"415","Leningrad Oblast",11,0,0,11,"12:19 30 March 2020"
"416","Nizhny Novgorod Oblast",11,1,0,10,"12:19 30 March 2020"
"417","Lipetsk Oblast",10,3,0,7,"12:19 30 March 2020"
"418","Chechnya",9,0,0,9,"12:19 30 March 2020"
"419","Ivanovo Oblast",9,0,0,9,"12:19 30 March 2020"
"420","Novosibirsk Oblast",9,0,0,9,"12:19 30 March 2020"
"421","Pskov Oblast",9,0,1,8,"12:19 30 March 2020"
"422","Khabarovsk Krai",7,0,0,7,"12:19 30 March 2020"
"423","Arkhangelsk Oblast",7,0,0,7,"12:19 30 March 2020"
"424","Penza Oblast",7,0,0,7,"12:19 30 March 2020"
"425","Orenburg Oblast",7,0,1,6,"12:19 30 March 2020"
"426","Kabardino-Balkaria",6,0,0,6,"12:19 30 March 2020"
"427","Stavropol Krai",6,0,0,6,"12:19 30 March 2020"
"428","Voronezh Oblast",6,0,0,6,"12:19 30 March 2020"
"429","Bashkortostan",5,0,0,5,"12:19 30 March 2020"
"430","Khanty-Mansi Autonomous Okrug",5,0,0,5,"12:19 30 March 2020"
"431","Sevastopol",5,0,0,5,"12:19 30 March 2020"
"432","Ryazan Oblast",5,0,0,5,"12:19 30 March 2020"
"433","Murmansk Oblast",5,1,0,4,"12:19 30 March 2020"
"434","Adygea",4,0,0,4,"12:19 30 March 2020"
"435","Dagestan",4,0,0,4,"12:19 30 March 2020"
"436","Udmurtia",4,0,0,4,"12:19 30 March 2020"
"437","Belgorod Oblast",4,0,0,4,"12:19 30 March 2020"
"438","Sakhalin Oblast",4,0,0,4,"12:19 30 March 2020"
"439","Saratov Oblast",4,0,0,4,"12:19 30 March 2020"
"440","Volgograd Oblast",4,0,0,4,"12:19 30 March 2020"
"441","Tyumen Oblast",4,1,0,3,"12:19 30 March 2020"
"442","Tver Oblast",4,2,0,2,"12:19 30 March 2020"
"443","Khakassia",3,0,0,3,"12:19 30 March 2020"
"444","Mordovia",3,0,0,3,"12:19 30 March 2020"
"445","Bryansk Oblast",3,0,0,3,"12:19 30 March 2020"
"446","Kaluga Oblast",3,0,0,3,"12:19 30 March 2020"
"447","Novgorod Oblast",3,0,0,3,"12:19 30 March 2020"
"448","Omsk Oblast",3,0,0,3,"12:19 30 March 2020"
"449","Oryol Oblast",3,0,0,3,"12:19 30 March 2020"
"450","Tambov Oblast",3,0,0,3,"12:19 30 March 2020"
"451","Yaroslavl Oblast",3,0,0,3,"12:19 30 March 2020"
"452","Tomsk Oblast",3,1,0,2,"12:19 30 March 2020"
"453","Kemerovo Oblast",3,2,0,1,"12:19 30 March 2020"
"454","Mari El",2,0,0,2,"12:19 30 March 2020"
"455","Primorsky Krai",2,0,0,2,"12:19 30 March 2020"
"456","Irkutsk Oblast",2,0,0,2,"12:19 30 March 2020"
"457","Rostov Oblast",2,0,0,2,"12:19 30 March 2020"
"458","Vladimir Oblast",2,0,0,2,"12:19 30 March 2020"
"459","Vologda Oblast",2,0,0,2,"12:19 30 March 2020"
"460","Chuvashia",1,0,0,1,"12:19 30 March 2020"
"461","Kalmykia",1,0,0,1,"12:19 30 March 2020"
"462","Altai Krai",1,0,0,1,"12:19 30 March 2020"
"463","Amur Oblast",1,0,0,1,"12:19 30 March 2020"
"464","Kostroma Oblast",1,0,0,1,"12:19 30 March 2020"
"465","Kurgan Oblast",1,0,0,1,"12:19 30 March 2020"
"466","Smolensk Oblast",1,0,0,1,"12:19 30 March 2020"
"467","Ulyanovsk Oblast",1,0,0,1,"12:19 30 March 2020"
"468","Zabaykalsky Krai",1,1,0,0,"12:19 30 March 2020"
"469","Moscow",1613,70,11,1531,"15:01 31 March 2020"
"470","Moscow Oblast",119,14,0,115,"15:01 31 March 2020"
"471","Saint Petersburg",98,7,2,89,"15:01 31 March 2020"
"472","Sverdlovsk Oblast",33,1,0,32,"15:01 31 March 2020"
"473","Komi Republic",22,0,0,22,"15:01 31 March 2020"
"474","Buryatia",19,0,0,19,"15:01 31 March 2020"
"475","Tatarstan",19,1,0,18,"15:01 31 March 2020"
"476","Krasnodar Krai",17,2,0,15,"15:01 31 March 2020"
"477","Republic of Crimea",16,0,0,16,"15:01 31 March 2020"
"478","Yakutia",15,0,0,15,"15:01 31 March 2020"
"479","Samara Oblast",15,1,0,14,"15:01 31 March 2020"
"480","Chelyabinsk Oblast",14,0,0,14,"15:01 31 March 2020"
"481","Leningrad Oblast",14,1,0,13,"15:01 31 March 2020"
"482","Krasnoyarsk Krai",14,4,0,10,"15:01 31 March 2020"
"483","Dagestan",13,0,0,13,"15:01 31 March 2020"
"484","Perm Krai",13,0,0,13,"15:01 31 March 2020"
"485","Tula Oblast",12,0,0,12,"15:01 31 March 2020"
"486","Nizhny Novgorod Oblast",12,1,0,11,"15:01 31 March 2020"
"487","Penza Oblast",12,0,1,11,"15:01 31 March 2020"
"488","Kaliningrad Oblast",12,2,0,10,"15:01 31 March 2020"
"489","Kirov Oblast",12,3,0,9,"15:01 31 March 2020"
"490","Murmansk Oblast",11,1,0,10,"15:01 31 March 2020"
"491","Lipetsk Oblast",10,3,0,7,"15:01 31 March 2020"
"492","Chechnya",9,0,0,9,"15:01 31 March 2020"
"493","Ivanovo Oblast",9,0,0,9,"15:01 31 March 2020"
"494","Novosibirsk Oblast",9,0,0,9,"15:01 31 March 2020"
"495","Pskov Oblast",9,0,1,8,"15:01 31 March 2020"
"496","Khabarovsk Krai",8,0,0,8,"15:01 31 March 2020"
"497","Voronezh Oblast",8,2,0,6,"15:01 31 March 2020"
"498","Bashkortostan",7,0,0,7,"15:01 31 March 2020"
"499","Arkhangelsk Oblast",7,0,0,7,"15:01 31 March 2020"
"500","Orenburg Oblast",7,0,1,6,"15:01 31 March 2020"
"501","Kabardino-Balkaria",6,0,0,6,"15:01 31 March 2020"
"502","Stavropol Krai",6,0,0,6,"15:01 31 March 2020"
"503","Tyumen Oblast",6,1,0,5,"15:01 31 March 2020"
"504","Belgorod Oblast",5,0,0,5,"15:01 31 March 2020"
"505","Rostov Oblast",5,0,0,5,"15:01 31 March 2020"
"506","Ryazan Oblast",5,0,0,5,"15:01 31 March 2020"
"507","Khanty-Mansi Autonomous Okrug",5,0,0,5,"15:01 31 March 2020"
"508","Sevastopol",5,0,0,5,"15:01 31 March 2020"
"509","Adygea",4,0,0,4,"15:01 31 March 2020"
"510","Udmurtia",4,0,0,4,"15:01 31 March 2020"
"511","Sakhalin Oblast",4,0,0,4,"15:01 31 March 2020"
"512","Saratov Oblast",4,0,0,4,"15:01 31 March 2020"
"513","Volgograd Oblast",4,0,0,4,"15:01 31 March 2020"
"514","Primorsky Krai",4,1,0,3,"15:01 31 March 2020"
"515","Tver Oblast",4,2,0,2,"15:01 31 March 2020"
"516","Khakassia",3,0,0,3,"15:01 31 March 2020"
"517","Mordovia",3,0,0,3,"15:01 31 March 2020"
"518","Bryansk Oblast",3,0,0,3,"15:01 31 March 2020"
"519","Kaluga Oblast",3,0,0,3,"15:01 31 March 2020"
"520","Kostroma Oblast",3,0,0,3,"15:01 31 March 2020"
"521","Novgorod Oblast",3,0,0,3,"15:01 31 March 2020"
"522","Omsk Oblast",3,0,0,3,"15:01 31 March 2020"
"523","Oryol Oblast",3,0,0,3,"15:01 31 March 2020"
"524","Tambov Oblast",3,0,0,3,"15:01 31 March 2020"
"525","Yaroslavl Oblast",3,0,0,3,"15:01 31 March 2020"
"526","Tomsk Oblast",3,1,0,2,"15:01 31 March 2020"
"527","Kemerovo Oblast",3,2,0,1,"15:01 31 March 2020"
"528","Kalmykia",2,0,0,2,"15:01 31 March 2020"
"529","Mari El",2,0,0,2,"15:01 31 March 2020"
"530","Altai Krai",2,0,0,2,"15:01 31 March 2020"
"531","Astrakhan Oblast",2,0,0,2,"15:01 31 March 2020"
"532","Irkutsk Oblast",2,0,0,2,"15:01 31 March 2020"
"533","Vladimir Oblast",2,0,1,1,"15:01 31 March 2020"
"534","Vologda Oblast",2,0,0,2,"15:01 31 March 2020"
"535","Chuvashia",1,0,0,1,"15:01 31 March 2020"
"536","Amur Oblast",1,0,0,1,"15:01 31 March 2020"
"537","Magadan Oblast",1,0,0,1,"15:01 31 March 2020"
"538","Smolensk Oblast",1,0,0,1,"15:01 31 March 2020"
"539","Ulyanovsk Oblast",1,0,0,1,"15:01 31 March 2020"
"540","Zabaykalsky Krai",1,1,0,0,"15:01 31 March 2020"
"541","Kurgan Oblast",1,1,0,0,"15:01 31 March 2020"
"542","Moscow",1880,115,16,1748,"22:59 1 April 2020"
"543","Moscow Oblast",134,17,1,116,"22:59 1 April 2020"
"544","Saint Petersburg",125,7,2,116,"22:59 1 April 2020"
"545","Komi Republic",54,0,0,54,"22:59 1 April 2020"
"546","Sverdlovsk Oblast",33,1,0,32,"22:59 1 April 2020"
"547","Buryatia",25,0,0,25,"22:59 1 April 2020"
"548","Krasnodar Krai",22,3,0,19,"22:59 1 April 2020"
"549","Chelyabinsk Oblast",21,0,0,21,"22:59 1 April 2020"
"550","Leningrad Oblast",20,1,0,19,"22:59 1 April 2020"
"551","Krasnoyarsk Krai",20,4,0,16,"22:59 1 April 2020"
"552","Tatarstan",19,2,0,17,"22:59 1 April 2020"
"553","Tula Oblast",17,3,0,14,"22:59 1 April 2020"
"554","Republic of Crimea",16,0,0,16,"22:59 1 April 2020"
"555","Penza Oblast",16,0,1,15,"22:59 1 April 2020"
"556","Dagestan",15,0,0,15,"22:59 1 April 2020"
"557","Yakutia",15,1,0,14,"22:59 1 April 2020"
"558","Saratov Oblast",15,1,0,14,"22:59 1 April 2020"
"559","Samara Oblast",15,2,0,13,"22:59 1 April 2020"
"560","Perm Krai",13,0,0,13,"22:59 1 April 2020"
"561","Nizhny Novgorod Oblast",12,1,0,11,"22:59 1 April 2020"
"562","Voronezh Oblast",12,2,0,10,"22:59 1 April 2020"
"563","Kirov Oblast",12,3,0,9,"22:59 1 April 2020"
"564","Kaliningrad Oblast",12,5,0,7,"22:59 1 April 2020"
"565","Ivanovo Oblast",11,0,0,11,"22:59 1 April 2020"
"566","Murmansk Oblast",11,1,0,10,"22:59 1 April 2020"
"567","Lipetsk Oblast",11,3,0,8,"22:59 1 April 2020"
"568","Chechnya",10,0,0,10,"22:59 1 April 2020"
"569","Novosibirsk Oblast",10,2,0,8,"22:59 1 April 2020"
"570","Khabarovsk Krai",9,0,0,9,"22:59 1 April 2020"
"571","Vologda Oblast",9,0,0,9,"22:59 1 April 2020"
"572","Pskov Oblast",9,0,2,7,"22:59 1 April 2020"
"573","Kabardino-Balkaria",8,0,0,8,"22:59 1 April 2020"
"574","Volgograd Oblast",8,0,0,8,"22:59 1 April 2020"
"575","Khanty-Mansi Autonomous Okrug",8,0,0,8,"22:59 1 April 2020"
"576","Bashkortostan",8,1,0,7,"22:59 1 April 2020"
"577","Arkhangelsk Oblast",7,0,0,7,"22:59 1 April 2020"
"578","Omsk Oblast",7,0,0,7,"22:59 1 April 2020"
"579","Orenburg Oblast",7,0,1,6,"22:59 1 April 2020"
"580","Stavropol Krai",6,0,0,6,"22:59 1 April 2020"
"581","Tambov Oblast",6,0,0,6,"22:59 1 April 2020"
"582","Tyumen Oblast",6,2,0,4,"22:59 1 April 2020"
"583","Belgorod Oblast",5,0,0,5,"22:59 1 April 2020"
"584","Bryansk Oblast",5,0,0,5,"22:59 1 April 2020"
"585","Rostov Oblast",5,0,0,5,"22:59 1 April 2020"
"586","Sakhalin Oblast",5,0,0,5,"22:59 1 April 2020"
"587","Sevastopol",5,0,0,5,"22:59 1 April 2020"
"588","Primorsky Krai",5,1,0,4,"22:59 1 April 2020"
"589","Ryazan Oblast",5,1,0,4,"22:59 1 April 2020"
"590","Tver Oblast",5,2,0,3,"22:59 1 April 2020"
"591","Adygea",4,0,0,4,"22:59 1 April 2020"
"592","Mordovia",4,0,0,4,"22:59 1 April 2020"
"593","Udmurtia",4,3,0,1,"22:59 1 April 2020"
"594","Khakassia",3,0,0,3,"22:59 1 April 2020"
"595","Altai Krai",3,0,0,3,"22:59 1 April 2020"
"596","Irkutsk Oblast",3,0,0,3,"22:59 1 April 2020"
"597","Kaluga Oblast",3,0,0,3,"22:59 1 April 2020"
"598","Kostroma Oblast",3,0,0,3,"22:59 1 April 2020"
"599","Kursk Oblast",3,0,0,3,"22:59 1 April 2020"
"600","Novgorod Oblast",3,0,0,3,"22:59 1 April 2020"
"601","Oryol Oblast",3,0,0,3,"22:59 1 April 2020"
"602","Tomsk Oblast",3,1,0,2,"22:59 1 April 2020"
"603","Vladimir Oblast",3,0,1,2,"22:59 1 April 2020"
"604","Yaroslavl Oblast",3,1,0,2,"22:59 1 April 2020"
"605","Kemerovo Oblast",3,2,0,1,"22:59 1 April 2020"
"606","Kalmykia",2,0,0,2,"22:59 1 April 2020"
"607","Mari El",2,0,0,2,"22:59 1 April 2020"
"608","North Ossetia-Alania",2,0,0,2,"22:59 1 April 2020"
"609","Astrakhan Oblast",2,0,0,2,"22:59 1 April 2020"
"610","Chuvashia",1,0,0,1,"22:59 1 April 2020"
"611","Amur Oblast",1,0,0,1,"22:59 1 April 2020"
"612","Magadan Oblast",1,0,0,1,"22:59 1 April 2020"
"613","Smolensk Oblast",1,0,0,1,"22:59 1 April 2020"
"614","Ulyanovsk Oblast",1,0,0,1,"22:59 1 April 2020"
"615","Zabaykalsky Krai",1,1,0,0,"22:59 1 April 2020"
"616","Kurgan Oblast",1,1,0,0,"22:59 1 April 2020"
"617","Moscow",2475,140,19,2315,"09:45 2 April 2020"
"618","Moscow Oblast",177,17,2,158,"09:45 2 April 2020"
"619","Saint Petersburg",147,7,2,138,"09:45 2 April 2020"
"620","Komi Republic",56,1,0,55,"09:45 2 April 2020"
"621","Sverdlovsk Oblast",38,8,0,30,"09:45 2 April 2020"
"622","Leningrad Oblast",31,1,0,30,"09:45 2 April 2020"
"623","Buryatia",30,0,0,30,"09:45 2 April 2020"
"624","Dagestan",25,0,0,25,"09:45 2 April 2020"
"625","Nizhny Novgorod Oblast",25,1,0,24,"09:45 2 April 2020"
"626","Krasnoyarsk Krai",25,4,0,21,"09:45 2 April 2020"
"627","Krasnodar Krai",22,4,0,18,"09:45 2 April 2020"
"628","Chelyabinsk Oblast",21,2,0,19,"09:45 2 April 2020"
"629","Perm Krai",20,1,1,18,"09:45 2 April 2020"
"630","Tatarstan",19,2,0,17,"09:45 2 April 2020"
"631","Kaliningrad Oblast",19,5,0,12,"09:45 2 April 2020"
"632","Samara Oblast",17,2,0,15,"09:45 2 April 2020"
"633","Tula Oblast",17,3,0,14,"09:45 2 April 2020"
"634","Republic of Crimea",16,1,0,15,"09:45 2 April 2020"
"635","Penza Oblast",16,0,1,15,"09:45 2 April 2020"
"636","Murmansk Oblast",15,1,0,14,"09:45 2 April 2020"
"637","Saratov Oblast",15,1,0,14,"09:45 2 April 2020"
"638","Lipetsk Oblast",15,3,0,12,"09:45 2 April 2020"
"639","Yakutia",15,4,0,11,"09:45 2 April 2020"
"640","Vologda Oblast",12,0,0,12,"09:45 2 April 2020"
"641","Orenburg Oblast",12,0,1,11,"09:45 2 April 2020"
"642","Voronezh Oblast",12,2,0,10,"09:45 2 April 2020"
"643","Kirov Oblast",12,3,0,9,"09:45 2 April 2020"
"644","Stavropol Krai",11,1,0,10,"09:45 2 April 2020"
"645","Ivanovo Oblast",11,1,0,10,"09:45 2 April 2020"
"646","Bashkortostan",10,1,0,9,"09:45 2 April 2020"
"647","Chechnya",10,0,1,9,"09:45 2 April 2020"
"648","Novosibirsk Oblast",10,2,0,8,"09:45 2 April 2020"
"649","Khabarovsk Krai",9,0,0,9,"09:45 2 April 2020"
"650","Omsk Oblast",9,0,0,9,"09:45 2 April 2020"
"651","Rostov Oblast",9,0,0,9,"09:45 2 April 2020"
"652","Pskov Oblast",9,0,2,7,"09:45 2 April 2020"
"653","Kabardino-Balkaria",8,0,0,8,"09:45 2 April 2020"
"654","Volgograd Oblast",8,0,0,8,"09:45 2 April 2020"
"655","Khanty-Mansi Autonomous Okrug",8,0,0,8,"09:45 2 April 2020"
"656","Arkhangelsk Oblast",7,0,0,7,"09:45 2 April 2020"
"657","Irkutsk Oblast",7,0,0,7,"09:45 2 April 2020"
"658","Belgorod Oblast",6,0,0,6,"09:45 2 April 2020"
"659","Tambov Oblast",6,0,0,6,"09:45 2 April 2020"
"660","Tyumen Oblast",6,2,0,4,"09:45 2 April 2020"
"661","Adygea",5,0,0,5,"09:45 2 April 2020"
"662","Bryansk Oblast",5,0,0,5,"09:45 2 April 2020"
"663","Sakhalin Oblast",5,0,0,5,"09:45 2 April 2020"
"664","Sevastopol",5,0,0,5,"09:45 2 April 2020"
"665","Kaluga Oblast",5,1,0,4,"09:45 2 April 2020"
"666","Ryazan Oblast",5,1,0,4,"09:45 2 April 2020"
"667","Primorsky Krai",5,2,0,3,"09:45 2 April 2020"
"668","Tver Oblast",5,2,0,3,"09:45 2 April 2020"
"669","Mari El",4,0,0,4,"09:45 2 April 2020"
"670","Mordovia",4,0,0,4,"09:45 2 April 2020"
"671","North Ossetia-Alania",4,0,0,4,"09:45 2 April 2020"
"672","Altai Krai",4,0,0,4,"09:45 2 April 2020"
"673","Udmurtia",4,3,0,1,"09:45 2 April 2020"
"674","Khakassia",3,0,0,3,"09:45 2 April 2020"
"675","Kostroma Oblast",3,0,0,3,"09:45 2 April 2020"
"676","Kursk Oblast",3,0,0,3,"09:45 2 April 2020"
"677","Novgorod Oblast",3,0,0,3,"09:45 2 April 2020"
"678","Oryol Oblast",3,0,0,3,"09:45 2 April 2020"
"679","Tomsk Oblast",3,1,0,2,"09:45 2 April 2020"
"680","Vladimir Oblast",3,0,1,2,"09:45 2 April 2020"
"681","Yaroslavl Oblast",3,1,0,2,"09:45 2 April 2020"
"682","Kemerovo Oblast",3,2,0,1,"09:45 2 April 2020"
"683","Kalmykia",2,0,0,2,"09:45 2 April 2020"
"684","Astrakhan Oblast",2,0,0,2,"09:45 2 April 2020"
"685","Yamalo-Nenets Autonomous Okrug",2,0,0,2,"09:45 2 April 2020"
"686","Chuvashia",1,0,0,1,"09:45 2 April 2020"
"687","Amur Oblast",1,0,0,1,"09:45 2 April 2020"
"688","Magadan Oblast",1,0,0,1,"09:45 2 April 2020"
"689","Smolensk Oblast",1,0,0,1,"09:45 2 April 2020"
"690","Ulyanovsk Oblast",1,0,0,1,"09:45 2 April 2020"
"691","Zabaykalsky Krai",1,1,0,0,"09:45 2 April 2020"
"692","Kurgan Oblast",1,1,0,0,"09:45 2 April 2020"
"693","Moscow",2923,168,20,2734,"17:13 3 April 2020"
"694","Moscow Oblast",211,17,2,192,"17:13 3 April 2020"
"695","Saint Petersburg",156,7,2,147,"17:13 3 April 2020"
"696","Komi Republic",56,1,2,53,"17:13 3 April 2020"
"697","Leningrad Oblast",41,1,0,40,"17:13 3 April 2020"
"698","Krasnodar Krai",39,4,0,35,"17:13 3 April 2020"
"699","Sverdlovsk Oblast",39,8,0,31,"17:13 3 April 2020"
"700","Buryatia",31,0,0,31,"17:13 3 April 2020"
"701","Penza Oblast",27,0,1,26,"17:13 3 April 2020"
"702","Dagestan",25,0,0,25,"17:13 3 April 2020"
"703","Nizhny Novgorod Oblast",25,1,0,24,"17:13 3 April 2020"
"704","Krasnoyarsk Krai",25,4,0,21,"17:13 3 April 2020"
"705","Tatarstan",25,6,0,19,"17:13 3 April 2020"
"706","Chelyabinsk Oblast",23,2,0,21,"17:13 3 April 2020"
"707","Perm Krai",21,3,2,16,"17:13 3 April 2020"
"708","Saratov Oblast",19,1,0,18,"17:13 3 April 2020"
"709","Kaliningrad Oblast",19,5,0,12,"17:13 3 April 2020"
"710","Republic of Crimea",18,1,0,17,"17:13 3 April 2020"
"711","Lipetsk Oblast",18,3,0,15,"17:13 3 April 2020"
"712","Tula Oblast",17,3,0,14,"17:13 3 April 2020"
"713","Samara Oblast",17,7,0,10,"17:13 3 April 2020"
"714","Khanty-Mansi Autonomous Okrug",16,2,0,14,"17:13 3 April 2020"
"715","Murmansk Oblast",15,1,0,14,"17:13 3 April 2020"
"716","Kirov Oblast",15,3,0,12,"17:13 3 April 2020"
"717","Yakutia",15,4,0,11,"17:13 3 April 2020"
"718","Ivanovo Oblast",13,1,0,12,"17:13 3 April 2020"
"719","Vologda Oblast",12,0,0,12,"17:13 3 April 2020"
"720","Yamalo-Nenets Autonomous Okrug",12,0,0,12,"17:13 3 April 2020"
"721","Chechnya",12,0,1,11,"17:13 3 April 2020"
"722","Orenburg Oblast",12,0,1,11,"17:13 3 April 2020"
"723","Voronezh Oblast",12,2,0,10,"17:13 3 April 2020"
"724","Stavropol Krai",11,1,0,10,"17:13 3 April 2020"
"725","Tyumen Oblast",11,2,0,9,"17:13 3 April 2020"
"726","Khabarovsk Krai",10,0,0,10,"17:13 3 April 2020"
"727","Novosibirsk Oblast",10,2,0,8,"17:13 3 April 2020"
"728","Bashkortostan",10,5,0,5,"17:13 3 April 2020"
"729","Omsk Oblast",9,0,0,9,"17:13 3 April 2020"
"730","Rostov Oblast",9,0,0,9,"17:13 3 April 2020"
"731","Pskov Oblast",9,0,2,7,"17:13 3 April 2020"
"732","Kabardino-Balkaria",8,0,0,8,"17:13 3 April 2020"
"733","Arkhangelsk Oblast",8,0,0,8,"17:13 3 April 2020"
"734","Irkutsk Oblast",8,0,0,8,"17:13 3 April 2020"
"735","Volgograd Oblast",8,0,0,8,"17:13 3 April 2020"
"736","Kalmykia",7,0,0,7,"17:13 3 April 2020"
"737","Bryansk Oblast",7,0,0,7,"17:13 3 April 2020"
"738","Primorsky Krai",7,2,0,5,"17:13 3 April 2020"
"739","Belgorod Oblast",6,0,0,6,"17:13 3 April 2020"
"740","Tambov Oblast",6,0,0,6,"17:13 3 April 2020"
"741","Ryazan Oblast",6,1,0,5,"17:13 3 April 2020"
"742","Tver Oblast",6,2,0,4,"17:13 3 April 2020"
"743","Adygea",5,0,0,5,"17:13 3 April 2020"
"744","Astrakhan Oblast",5,0,0,5,"17:13 3 April 2020"
"745","Sakhalin Oblast",5,0,0,5,"17:13 3 April 2020"
"746","Sevastopol",5,0,0,5,"17:13 3 April 2020"
"747","Kaluga Oblast",5,1,0,4,"17:13 3 April 2020"
"748","Mari El",4,0,0,4,"17:13 3 April 2020"
"749","Mordovia",4,0,0,4,"17:13 3 April 2020"
"750","North Ossetia-Alania",4,0,0,4,"17:13 3 April 2020"
"751","Altai Krai",4,0,0,4,"17:13 3 April 2020"
"752","Kursk Oblast",4,0,0,4,"17:13 3 April 2020"
"753","Udmurtia",4,3,0,1,"17:13 3 April 2020"
"754","Khakassia",3,0,0,3,"17:13 3 April 2020"
"755","Kostroma Oblast",3,0,0,3,"17:13 3 April 2020"
"756","Novgorod Oblast",3,0,0,3,"17:13 3 April 2020"
"757","Oryol Oblast",3,0,0,3,"17:13 3 April 2020"
"758","Jewish Autonomous Oblast",3,0,0,3,"17:13 3 April 2020"
"759","Tomsk Oblast",3,1,0,2,"17:13 3 April 2020"
"760","Vladimir Oblast",3,0,1,2,"17:13 3 April 2020"
"761","Yaroslavl Oblast",3,1,0,2,"17:13 3 April 2020"
"762","Kemerovo Oblast",3,2,0,1,"17:13 3 April 2020"
"763","Chuvashia",1,0,0,1,"17:13 3 April 2020"
"764","Ingushetia",1,0,0,1,"17:13 3 April 2020"
"765","Amur Oblast",1,0,0,1,"17:13 3 April 2020"
"766","Magadan Oblast",1,0,0,1,"17:13 3 April 2020"
"767","Smolensk Oblast",1,0,0,1,"17:13 3 April 2020"
"768","Zabaykalsky Krai",1,1,0,0,"17:13 3 April 2020"
"769","Kurgan Oblast",1,1,0,0,"17:13 3 April 2020"
"770","Ulyanovsk Oblast",1,1,0,0,"17:13 3 April 2020"
"771","Moscow",3357,194,27,3135,"10:27 4 April 2020"
"772","Moscow Oblast",260,30,2,228,"10:27 4 April 2020"
"773","Saint Petersburg",171,7,2,162,"10:27 4 April 2020"
"774","Komi Republic",59,1,2,56,"10:27 4 April 2020"
"775","Leningrad Oblast",47,1,0,46,"10:27 4 April 2020"
"776","Sverdlovsk Oblast",40,13,0,27,"10:27 4 April 2020"
"777","Krasnodar Krai",39,4,0,35,"10:27 4 April 2020"
"778","Buryatia",35,0,0,35,"10:27 4 April 2020"
"779","Penza Oblast",27,0,1,26,"10:27 4 April 2020"
"780","Chelyabinsk Oblast",26,2,0,24,"10:27 4 April 2020"
"781","Dagestan",25,0,0,25,"10:27 4 April 2020"
"782","Nizhny Novgorod Oblast",25,1,0,24,"10:27 4 April 2020"
"783","Krasnoyarsk Krai",25,4,0,21,"10:27 4 April 2020"
"784","Tatarstan",25,6,0,19,"10:27 4 April 2020"
"785","Ivanovo Oblast",23,1,0,22,"10:27 4 April 2020"
"786","Perm Krai",21,3,2,16,"10:27 4 April 2020"
"787","Bryansk Oblast",19,0,0,19,"10:27 4 April 2020"
"788","Saratov Oblast",19,1,0,18,"10:27 4 April 2020"
"789","Tula Oblast",19,3,0,16,"10:27 4 April 2020"
"790","Kaliningrad Oblast",19,5,0,12,"10:27 4 April 2020"
"791","Republic of Crimea",18,3,0,15,"10:27 4 April 2020"
"792","Kirov Oblast",18,3,0,15,"10:27 4 April 2020"
"793","Lipetsk Oblast",18,3,0,15,"10:27 4 April 2020"
"794","Samara Oblast",17,7,0,10,"10:27 4 April 2020"
"795","Khanty-Mansi Autonomous Okrug",16,2,0,14,"10:27 4 April 2020"
"796","Chechnya",15,0,1,14,"10:27 4 April 2020"
"797","Murmansk Oblast",15,1,0,14,"10:27 4 April 2020"
"798","Voronezh Oblast",14,2,0,12,"10:27 4 April 2020"
"799","Vologda Oblast",13,0,0,13,"10:27 4 April 2020"
"800","Yakutia",15,4,0,11,"10:27 4 April 2020"
"801","Yamalo-Nenets Autonomous Okrug",12,0,0,12,"10:27 4 April 2020"
"802","Orenburg Oblast",12,1,1,10,"10:27 4 April 2020"
"803","Ryazan Oblast",12,2,0,10,"10:27 4 April 2020"
"804","Stavropol Krai",11,1,0,10,"10:27 4 April 2020"
"805","Tyumen Oblast",11,2,0,9,"10:27 4 April 2020"
"806","Khabarovsk Krai",10,0,0,10,"10:27 4 April 2020"
"807","Omsk Oblast",10,0,0,10,"10:27 4 April 2020"
"808","Novosibirsk Oblast",10,2,0,8,"10:27 4 April 2020"
"809","Bashkortostan",10,5,0,5,"10:27 4 April 2020"
"810","Rostov Oblast",9,0,0,9,"10:27 4 April 2020"
"811","Pskov Oblast",9,2,2,5,"10:27 4 April 2020"
"812","Kabardino-Balkaria",8,0,0,8,"10:27 4 April 2020"
"813","Arkhangelsk Oblast",8,0,0,8,"10:27 4 April 2020"
"814","Irkutsk Oblast",8,0,0,8,"10:27 4 April 2020"
"815","Kostroma Oblast",8,0,1,7,"10:27 4 April 2020"
"816","Volgograd Oblast",8,1,0,7,"10:27 4 April 2020"
"817","Adygea",7,0,0,7,"10:27 4 April 2020"
"818","Kalmykia",7,0,0,7,"10:27 4 April 2020"
"819","Altai Krai",7,0,0,7,"10:27 4 April 2020"
"820","Belgorod Oblast",7,0,0,7,"10:27 4 April 2020"
"821","Tambov Oblast",7,0,0,7,"10:27 4 April 2020"
"822","Primorsky Krai",7,2,1,4,"10:27 4 April 2020"
"823","Oryol Oblast",6,0,0,6,"10:27 4 April 2020"
"824","Sakhalin Oblast",6,0,0,6,"10:27 4 April 2020"
"825","Kaluga Oblast",6,1,0,5,"10:27 4 April 2020"
"826","Tver Oblast",6,2,0,4,"10:27 4 April 2020"
"827","Mordovia",5,0,0,5,"10:27 4 April 2020"
"828","North Ossetia-Alania",5,0,0,5,"10:27 4 April 2020"
