"","place","link","tables_present","test_tables","hospital_and_test","hospital_test_region","test_region"
"56","Malta","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Malta",0,0,0,0,0
"57","Colombia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Colombia",0,0,0,0,0
"58","Tunisia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Tunisia",0,0,0,0,0
"59","the Åland Islands","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_%C3%85land_Islands",0,0,0,0,0
"60","Cameroon","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Cameroon",0,0,0,0,0
"61","the Gambia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Gambia",0,0,0,0,0
"62","the Netherlands","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Netherlands",2,0,1,0,0
"63","Croatia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Croatia",2,0,1,0,0
"64","French Saint Martin","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_French_Saint_Martin",0,0,0,0,0
"65","Norway","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Norway",0,0,0,0,0
"66","the Luhansk People's Republic","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Luhansk_People%27s_Republic",0,0,0,0,0
"67","Ethiopia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Ethiopia",0,0,0,0,0
"68","Panama","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Panama",0,0,0,0,0
"69","Abkhazia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Abkhazia",0,0,0,0,0
"70","Western Sahara","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Western_Sahara",0,0,0,0,0
"71","the British Virgin Islands","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_British_Virgin_Islands",0,0,0,0,0
"72","Iowa","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Iowa",1,0,0,0,0
"73","São Tomé and Príncipe","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe",0,0,0,0,0
"74","Gibraltar","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Gibraltar",0,0,0,0,0
"75","Qatar","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Qatar",0,0,0,0,0
"76","Saint Pierre and Miquelon","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Saint_Pierre_and_Miquelon",0,0,0,0,0
"77","Togo","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Togo",0,0,0,0,0
"78","Missouri","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Missouri",1,0,0,0,0
"79","the State of Palestine","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_State_of_Palestine",0,0,0,0,0
"80","Benin","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Benin",0,0,0,0,0
"81","Switzerland","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Switzerland",0,0,0,0,0
"82","Mayotte","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Mayotte",0,0,0,0,0
"83","the Canary Islands","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Canary_Islands",1,1,1,1,1
"84","Chad","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Chad",0,0,0,0,0
"85","Senegal","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Senegal",0,0,0,0,0
"86","Seychelles","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Seychelles",0,0,0,0,0
