"","Date","Total Confirmed New","Total Confirmed Cml","Total Deaths New","Total Deaths Cml","Total Recovered New","Total Recovered Cml","Province","No. of confirmed cases"
"416",2020-04-25,"783","12,723","16","269","91","2,866","Khyber Pakhtunkhwa","1,793"
"417",2020-04-25,"783","12,723","16","269","91","2,866","Balochistan","722"
"418",2020-04-25,"783","12,723","16","269","91","2,866","Gilgit-Baltistan","308"
"419",2020-04-25,"783","12,723","16","269","91","2,866","Azad Kashmir",""
"420",2020-04-25,"783","12,723","16","269","91","2,866","Islamabad","235"
"421",2020-04-26,"605","13,328","12","281","163","3,029","Punjab","5,446"
"422",2020-04-26,"605","13,328","12","281","163","3,029","Sindh","4,615"
"423",2020-04-26,"605","13,328","12","281","163","3,029","Khyber Pakhtunkhwa","1,864"
"424",2020-04-26,"605","13,328","12","281","163","3,029","Balochistan","781"
"425",2020-04-26,"605","13,328","12","281","163","3,029","Gilgit-Baltistan","318"
"426",2020-04-26,"605","13,328","12","281","163","3,029","Azad Kashmir","59"
"427",2020-04-26,"605","13,328","12","281","163","3,029","Islamabad","245"
